HomeTeamName,HomeTeamid,Div
Augsburg,161,78
Bayern Munich,157,78
Bielefeld,188,78
Bochum,176,78
Braunschweig,744,78
Darmstadt,181,78
Dortmund,165,78
Ein Frankfurt,169,78
FC Koln,192,78
Fortuna Dusseldorf,158,78
Freiburg,160,78
Greuther Furth,178,78
Hamburg,175,78
Hannover,166,78
Hertha,159,78
Hoffenheim,167,78
Ingolstadt,184,78
Kaiserslautern,745,78
Leverkusen,168,78
M'gladbach,163,78
Mainz,164,78
Nurnberg,171,78
Paderborn,185,78
RB Leipzig,173,78
Schalke 04,174,78
St Pauli,186,78
Stuttgart,172,78
Union Berlin,182,78
Werder Bremen,162,78
Wolfsburg,161,78
